Id2,TRACT,BEDROOMS,meanBEDROOMS,totalHouseholds,meanHSize,totalFamilies,meanFamSize,totalAdults,married,neverMarried,totalHispanics,marriedHispanics,totalWhites,marriedWhites,workingMales,workingFemales,percent_nobachelor,percent_bachelor,percent_graduate,percent_bachelorPlus,percent_below_poverty,total_below_povertyPlus,households_1decile,households_2decile,households_3decile,households_4decile,households_5decile,households_6decile,households_7decile,households_8decile,households_9decile,households_topdecile,households_medianIncome,households_meanIncome,meanV
6037575803,5758.03,1603,1.207987943,1230,2.33,508.0,3.68,1789.0,25.7,39.5,1269.0,39.1,407.0,12.3,649.0,558.0,20.3,10.1,3.9,14.0,41.4,2095.0,12.8,28.0,11.5,14.8,17.2,5.9,7.8,1.1,1.1,0.0,23176.0,30980.0,5.67281259
6037575902,5759.02,3151,1.010583708,2766,1.7,807.0,2.6,3783.0,21.1,60.3,1248.0,29.4,1673.0,23.9,1339.0,1297.0,25.5,17.1,15.3,32.4,33.9,2740.0,13.0,14.9,14.9,13.1,8.6,11.0,8.6,13.2,0.0,2.6,29768.0,52246.0,5.819329246000001
6037576001,5760.01,4952,1.268767615,3152,1.67,1064.0,2.49,4578.0,38.7,38.2,849.0,31.2,2126.0,36.7,2063.0,1401.0,17.8,31.6,25.2,56.7,12.3,1162.0,4.2,4.0,9.0,6.5,13.0,16.1,12.7,18.1,6.5,9.8,66302.0,97577.0,5.943724252999999
6037576200,5762.0,3074,0.9890604890000001,2882,1.87,986.0,3.14,3912.0,27.4,54.4,2152.0,35.3,1277.0,23.7,1715.0,1050.0,18.5,20.8,6.9,27.7,38.3,3715.0,18.3,17.5,16.8,9.0,8.5,7.1,8.5,8.8,3.7,1.8,22656.0,44476.0,5.9253803110000005
6037576301,5763.01,2564,1.4142305569999998,1659,2.69,896.0,3.59,2945.0,31.4,47.6,1712.0,37.5,599.0,21.4,1327.0,1084.0,24.7,15.1,8.1,23.2,33.0,2899.0,9.2,16.9,15.7,11.5,10.8,16.1,7.1,6.9,3.5,2.4,31868.0,49352.0,5.845586148
6037576302,5763.02,2111,1.680732484,1187,3.66,887.0,4.3,2340.0,31.9,47.9,1789.0,32.9,254.0,28.7,1090.0,899.0,19.5,7.4,4.0,11.3,26.5,2757.0,4.0,11.4,13.3,16.8,20.1,21.4,7.5,5.6,0.0,0.0,36715.0,42233.0,5.736076867
6037576401,5764.01,2226,1.73229572,1198,3.97,912.0,4.55,2485.0,26.6,51.9,2099.0,29.8,272.0,29.4,1252.0,706.0,19.6,1.7,0.9,2.6,48.1,3899.0,6.3,11.0,22.4,24.4,19.3,10.0,4.9,1.3,0.4,0.0,27967.0,34045.0,5.730206153999999
6037576402,5764.02,2466,1.730526316,1272,3.78,983.0,4.17,2780.0,34.2,53.9,2146.0,39.2,209.0,23.4,1240.0,892.0,17.1,5.2,1.0,6.2,28.6,3362.0,7.6,6.8,18.5,16.1,20.3,18.3,10.0,1.8,0.6,0.0,38468.0,41958.0,5.639179652999999
6037576403,5764.03,2845,1.869250986,1413,3.88,1097.0,4.37,2849.0,29.4,51.4,2097.0,35.8,271.0,12.5,1242.0,1037.0,21.1,4.0,1.4,5.4,35.0,4025.0,12.0,7.7,18.8,18.5,10.7,13.8,10.7,5.3,2.5,0.0,32263.0,43400.0,5.7122137770000005
6037576501,5765.01,2243,1.401875,1515,2.06,594.0,3.17,2179.0,20.5,51.6,1227.0,33.7,816.0,6.1,853.0,892.0,26.9,17.2,10.5,27.7,24.7,1521.0,13.8,9.3,13.1,15.4,12.0,14.3,8.6,6.0,3.3,4.3,32552.0,53306.0,5.89781687
6037576502,5765.02,3229,1.482552801,1995,2.34,907.0,3.28,3010.0,21.7,63.9,1448.0,22.9,1062.0,20.1,1260.0,1385.0,31.7,14.8,8.0,22.8,32.4,2741.0,6.7,9.3,21.6,12.4,15.1,18.5,8.5,5.7,0.9,1.3,35069.0,48357.0,5.758018895
6037576503,5765.03,2601,1.3462732919999998,1833,2.18,855.0,3.14,2716.0,26.6,57.9,1341.0,22.7,1111.0,27.6,1250.0,1032.0,19.3,15.6,8.7,24.4,24.7,2105.0,5.7,9.4,15.3,13.1,16.5,27.0,7.2,3.3,1.3,1.1,40485.0,47485.0,5.781079489
6037576601,5766.01,4087,1.337806874,2816,1.58,785.0,2.37,3859.0,34.1,45.6,1016.0,22.8,2182.0,31.9,1999.0,1541.0,25.3,24.8,14.1,38.9,10.6,1248.0,9.0,5.7,9.1,8.0,17.6,19.5,13.1,8.2,5.5,4.3,50462.0,69493.0,5.845377807
6037576602,5766.02,3784,1.294117647,2647,1.6,827.0,2.34,3681.0,33.2,54.0,892.0,30.2,2193.0,36.0,1492.0,1364.0,22.1,32.7,22.8,55.5,17.4,1068.0,8.8,2.2,3.8,12.5,13.3,23.0,14.7,12.7,2.1,6.8,56875.0,76046.0,5.870574735
6037576700,5767.0,4046,1.720238095,2184,1.8,809.0,2.47,3377.0,29.6,43.3,770.0,36.5,2269.0,29.6,1362.0,1210.0,25.1,30.9,21.8,52.7,9.6,1055.0,4.3,0.7,8.2,10.5,10.7,17.3,13.0,20.9,8.3,6.1,69179.0,90641.0,6.05663502
6037576801,5768.01,3402,1.521466905,2079,2.03,870.0,3.08,3227.0,26.6,56.6,1481.0,31.9,1281.0,23.8,1176.0,1134.0,22.0,25.9,10.1,36.0,27.3,2230.0,10.3,8.8,14.8,13.1,12.3,20.1,7.2,8.3,2.7,2.5,41160.0,51617.0,5.895840606
6037576802,5768.02,3269,1.6255594230000001,1902,1.95,677.0,2.97,2940.0,30.5,50.5,868.0,25.2,1847.0,33.0,1291.0,1168.0,19.0,31.4,17.5,48.9,15.4,1203.0,3.1,2.1,9.6,16.0,20.2,21.3,13.0,10.5,3.4,0.7,47826.0,60740.0,5.762876512999999
6037576901,5769.01,3287,1.680470348,1864,3.56,1272.0,4.14,3600.0,30.5,55.4,3228.0,34.1,373.0,31.6,1601.0,1111.0,19.7,6.9,2.6,9.6,41.7,4756.0,12.9,13.8,17.3,12.1,16.5,16.4,6.3,2.1,2.1,0.4,30594.0,39708.0,5.886417455
6037576903,5769.03,2610,1.769491525,1442,3.07,958.0,3.59,2353.0,30.4,56.0,1797.0,37.5,709.0,24.5,1112.0,1047.0,25.2,10.7,4.9,15.6,27.0,2701.0,4.1,8.0,13.3,18.3,23.1,17.8,5.0,8.3,1.3,0.8,41111.0,49618.0,5.722639771
